sample_id,status,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,recovery,purity,productivity_mol_h_kg,energy_kJ_kgCO2
1480,success,0.529106601,0.585684475,1.782285056,47.78995931,6.869767993,22.65206931,0.829413107,0.820138516,0.281950413,1500.234281
1481,success,0.849899071,0.581753055,1.518862732,41.69735868,5.95011519,19.99182296,0.633910849,0.819341192,0.344884203,1284.410404
1482,success,0.802834181,0.377654741,1.223448225,37.92279615,5.653784437,22.61636662,0.802776675,0.697182365,0.385566236,943.6579865
1483,success,0.596368637,0.350301331,1.313498464,54.06113413,9.823337537,19.22407924,0.833727006,0.755644959,0.34731635,997.5817842
1484,success,0.548319287,0.524341055,1.816204466,40.55862854,11.10668404,16.747648,0.810369803,0.776917569,0.304940013,1353.731151
1485,success,0.927802615,0.651363236,1.144064879,45.77974444,5.960243139,21.59977362,0.287762224,0.849130665,0.171164292,2237.131566
1486,success,0.699924501,0.588989867,1.99317054,46.69123438,12.39533654,15.4073827,0.690109106,0.848537302,0.348155839,1390.355653
1487,success,0.89386321,0.428023169,1.861186875,52.69141236,9.658717337,19.06803543,0.774689671,0.819102978,0.481894362,1047.544101
1488,success,0.815902986,0.645163971,1.654118483,48.13418151,11.60332349,24.80731789,0.59238949,0.865132255,0.310343673,1429.887997
1489,success,0.663080698,0.394203528,1.923933708,49.14637694,5.934382132,24.31905449,0.920639648,0.742091812,0.384834023,1154.4752
1490,success,0.702419552,0.801854291,1.776375409,35.78051017,7.920816202,18.71966372,0.550676802,0.848508749,0.246090192,1850.675326
1491,success,0.609293672,0.621341019,1.832397661,36.5467405,5.453381155,23.13419256,0.834682852,0.775066349,0.298006563,1476.102819
1492,success,0.712793629,0.833682256,1.758883872,36.89100621,6.464427274,17.63189483,0.477476698,0.860938638,0.219865396,2113.50821
1493,success,0.899994498,0.560912413,1.511378683,40.21865605,13.40326286,20.37060945,0.57819146,0.817024236,0.34269122,1240.343868
1494,success,0.729246602,0.554024718,1.465933908,40.59641375,5.936299629,16.56695979,0.646315996,0.801639315,0.315854852,1312.020418
1495,success,0.803839654,0.618156182,1.021936103,36.90914607,10.9620721,19.54877006,0.290294032,0.799828925,0.150567177,2110.778225
1496,success,0.596503706,0.61089501,1.382567687,54.49515602,10.73539227,21.84004986,0.532370535,0.869251092,0.216193994,1685.232789
1497,success,0.850550601,0.350556875,1.660086308,51.82194638,10.82653254,21.29972672,0.82386787,0.775008724,0.475219006,943.2228246
1498,success,0.759644708,0.543471605,1.245668659,39.73417733,13.69771479,15.85747129,0.45609724,0.801412085,0.242794536,1458.396084
1499,success,0.551096507,0.602812461,1.994620377,40.96303775,10.46642423,18.91369425,0.810359627,0.805502316,0.296710251,1501.207151
1500,success,0.525542277,0.599160419,1.342392892,43.06622589,5.385474626,15.03897382,0.584395934,0.819304606,0.21298592,1684.391512
1501,success,0.862322907,0.561162604,1.693551415,54.20182135,8.079016037,22.30380332,0.645337677,0.862267474,0.372354704,1283.602561
1502,success,0.565846357,0.623049224,1.321645526,46.63547158,12.338363,17.3621179,0.468232848,0.84926311,0.18600628,1831.06017
1503,success,0.642907897,0.764069857,1.873821933,52.14166836,11.08525754,22.55979771,0.52249521,0.897838035,0.224983167,2051.58463
1504,success,0.962614774,0.422058119,1.969024092,36.32693632,6.067142909,18.07439121,0.827438155,0.735515977,0.507459347,1049.012705
1505,success,0.510742926,0.432932868,1.003720368,44.47189584,9.16023874,22.97626379,0.737479297,0.745357988,0.239628163,1129.170188
1506,success,0.838565417,0.72485262,1.206575189,44.65592244,10.17721063,21.62134375,0.217929139,0.863801318,0.119104826,3094.417772
1507,success,0.770770137,0.596585936,1.608818969,50.57362394,13.37357967,15.85228838,0.493614351,0.865590988,0.277058229,1571.560879
1508,success,0.945950931,0.790903946,1.786044977,47.87087096,9.014374114,20.62033801,0.371811884,0.89544612,0.234582434,2180.458896
1509,success,0.916959627,0.461704005,1.931075463,46.17396662,9.379486412,23.01090742,0.810230543,0.803309655,0.477398742,1058.817954
1510,success,0.649511185,0.509474445,1.509241945,50.60031331,10.50465232,16.4174226,0.668387428,0.830154118,0.310957642,1282.587849
